QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
93996-45859:Derek Carr,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-28643:Allen Robinson II,93996-88575:Elijah Moore,93996-91426:Donovan Peoples-Jones,93996-64031:Hayden Hurst,93996-53562:Nick Chubb,93996-12547:Pittsburgh Steelers,,93996-120657:Kendre Miller,93996-120657,RB,Kendre,Kendre Miller,Miller,,,4800,NO@CAR,NO,CAR,Q,Hamstring,,,,RB/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-28643:Allen Robinson II,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-55335:David Njoku,93996-91426:Donovan Peoples-Jones,93996-12547:Pittsburgh Steelers,,93996-70601:Harrison Bryant,93996-70601,TE,Harrison,Harrison Bryant,Bryant,7.5,1,4800,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
93996-45859:Derek Carr,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-87770:Chris Olave,93996-55335:David Njoku,93996-71845:Miles Sanders,93996-12529:Cleveland Browns,,93996-91677:Shi Smith,93996-91677,WR,Shi,Shi Smith,Smith,3.162499905,16,4700,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-86244:Pat Freiermuth,93996-87770:Chris Olave,93996-12529:Cleveland Browns,,93996-12542:New Orleans Saints,93996-12542,D,New Orleans,New Orleans Saints,Saints,10,1,4700,NO@CAR,NO,CAR,,,,,,DEF
93996-45859:Derek Carr,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-91426:Donovan Peoples-Jones,93996-55335:David Njoku,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,93996-32243:Marquise Goodwin,93996-32243,WR,Marquise,Marquise Goodwin,Goodwin,0,1,4600,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-28643:Allen Robinson II,93996-39716:Adam Thielen,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-91426:Donovan Peoples-Jones,93996-12547:Pittsburgh Steelers,,93996-60712:Foster Moreau,93996-60712,TE,Foster,Foster Moreau,Moreau,4.907142639,14,4500,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-87770:Chris Olave,93996-87859:Laviska Shenault Jr.,93996-91426:Donovan Peoples-Jones,93996-86244:Pat Freiermuth,93996-90533:Jerome Ford,93996-12547:Pittsburgh Steelers,,93996-73121:Tony Jones Jr.,93996-73121,RB,Tony,Tony Jones Jr.,Jones Jr.,0.5,1,4500,NO@CAR,NO,CAR,,,,,,RB/FLEX
93996-45859:Derek Carr,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-70601:Harrison Bryant,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-88277:Anthony McFarland Jr.,93996-88277,RB,Anthony,Anthony McFarland Jr.,McFarland Jr.,2.099999905,1,4500,CLE@PIT,PIT,CLE,O,Knee,,,,RB/FLEX
93996-45859:Derek Carr,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-110246:George Pickens,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-45565:Taysom Hill,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-30678:Damiere Byrd,93996-30678,WR,Damiere,Damiere Byrd,Byrd,3.774999936,12,4500,NO@CAR,CAR,NO,Q,Hamstring,,,,WR/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-87859:Laviska Shenault Jr.,93996-55335:David Njoku,93996-90870:Calvin Austin III,93996-12529:Cleveland Browns,,93996-92890:Cody White,93996-92890,WR,Cody,Cody White,White,0.699999988,1,4500,CLE@PIT,PIT,CLE,Q,Undisclosed,,,,WR/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-45565:Taysom Hill,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-52897:Darrel Williams,93996-52897,RB,Darrel,Darrel Williams,Williams,3.820000076,5,4400,NO@CAR,NO,CAR,,,,,,RB/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-110246:George Pickens,93996-28643:Allen Robinson II,93996-85672:Terrace Marshall Jr.,93996-70601:Harrison Bryant,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-12529:Cleveland Browns,93996-12529,D,Cleveland,Cleveland Browns,Browns,9,1,4400,CLE@PIT,CLE,PIT,,,,,,DEF
93996-45859:Derek Carr,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-39716:Adam Thielen,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-57338:Jordan Akins,93996-57338,TE,Jordan,Jordan Akins,Akins,1.700000048,1,4400,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-39716:Adam Thielen,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12529:Cleveland Browns,,93996-57342:Tre'Quan Smith,93996-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,4.811111026,9,4400,NO@CAR,NO,CAR,IR,Groin,,,,WR/FLEX
93996-45859:Derek Carr,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-39716:Adam Thielen,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-12529:Cleveland Browns,,93996-85762:Eno Benjamin,93996-85762,RB,Eno,Eno Benjamin,Benjamin,5.930769113,13,4300,NO@CAR,NO,CAR,IR,Achilles,,,,RB/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-70601:Harrison Bryant,93996-88575:Elijah Moore,93996-12529:Cleveland Browns,,93996-64827:Miles Boykin,93996-64827,WR,Miles,Miles Boykin,Boykin,0.699999968,3,4300,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-45859:Derek Carr,93996-45631:Jamaal Williams,93996-90533:Jerome Ford,93996-39716:Adam Thielen,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-64808:Juwan Johnson,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,93996-133477:Darnell Washington,93996-133477,TE,Darnell,Darnell Washington,Washington,,,4300,CLE@PIT,PIT,CLE,,,,,,TE/FLEX
93996-45859:Derek Carr,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-87770:Chris Olave,93996-87859:Laviska Shenault Jr.,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-79974:Tarik Cohen,93996-79974,RB,Tarik,Tarik Cohen,Cohen,,,4300,NO@CAR,CAR,NO,,,,,,RB/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-28643:Allen Robinson II,93996-64031:Hayden Hurst,93996-88575:Elijah Moore,93996-12529:Cleveland Browns,,93996-45997:Keith Kirkwood,93996-45997,WR,Keith,Keith Kirkwood,Kirkwood,0,1,4300,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-45859:Derek Carr,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-28643:Allen Robinson II,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,93996-114180:David Bell,93996-114180,WR,David,David Bell,Bell,0,1,4200,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-88575:Elijah Moore,93996-86244:Pat Freiermuth,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-71723:Dez Fitzpatrick,93996-71723,WR,Dez,Dez Fitzpatrick,Fitzpatrick,,,4200,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-12529:Cleveland Browns,,93996-160306:Pierre Strong Jr.,93996-160306,RB,Pierre,Pierre Strong Jr.,Strong Jr.,3.950000127,6,4200,CLE@PIT,CLE,PIT,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-85672:Terrace Marshall Jr.,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-72515:Ian Thomas,93996-72515,TE,Ian,Ian Thomas,Thomas,2.323076982,13,4200,NO@CAR,CAR,NO,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-39716:Adam Thielen,93996-85672:Terrace Marshall Jr.,93996-88575:Elijah Moore,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,93996-12542:New Orleans Saints,,93996-87621:A.T. Perry,93996-87621,WR,A.T.,A.T. Perry,Perry,,,4200,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-87859:Laviska Shenault Jr.,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-92590:Raheem Blackshear,93996-92590,RB,Raheem,Raheem Blackshear,Blackshear,2.923076923,13,4200,NO@CAR,CAR,NO,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-88575:Elijah Moore,93996-64031:Hayden Hurst,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-65477:Giovanni Ricci,93996-65477,TE,Giovanni,Giovanni Ricci,Ricci,0.699999988,1,4200,NO@CAR,CAR,NO,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-170287:Rashid Shaheed,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-70601:Harrison Bryant,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-93404:Zander Horvath,93996-93404,RB,Zander,Zander Horvath,Horvath,2.012500048,8,4200,CLE@PIT,PIT,CLE,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-112192:Jonathan Mingo,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-11512:Jimmy Graham,93996-11512,TE,Jimmy,Jimmy Graham,Graham,,,4200,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-28573:Michael Thomas,93996-86244:Pat Freiermuth,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-87122:Lynn Bowden Jr.,93996-87122,WR,Lynn,Lynn Bowden Jr.,Bowden Jr.,,,4100,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-88575:Elijah Moore,93996-64808:Juwan Johnson,93996-53562:Nick Chubb,93996-12553:Carolina Panthers,,93996-86113:Ihmir Smith-Marsette,93996-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0,1,4100,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-91426:Donovan Peoples-Jones,93996-64808:Juwan Johnson,93996-90575:Najee Harris,93996-12553:Carolina Panthers,,93996-87662:Anthony Schwartz,93996-87662,WR,Anthony,Anthony Schwartz,Schwartz,2.799999873,6,4100,CLE@PIT,CLE,PIT,IR,Hamstring,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-85672:Terrace Marshall Jr.,93996-64808:Juwan Johnson,93996-91426:Donovan Peoples-Jones,93996-12553:Carolina Panthers,,93996-104577:Gunner Olszewski,93996-104577,WR,Gunner,Gunner Olszewski,Olszewski,0.746153831,13,4100,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-28573:Michael Thomas,93996-85672:Terrace Marshall Jr.,93996-87859:Laviska Shenault Jr.,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-87432:Cedric Tillman,93996-87432,WR,Cedric,Cedric Tillman,Tillman,,,4100,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-170287:Rashid Shaheed,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,93996-12542:New Orleans Saints,,93996-41867:Jordan Wilkins,93996-41867,RB,Jordan,Jordan Wilkins,Wilkins,2.924999952,4,4100,CLE@PIT,CLE,PIT,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-89997:Michael Woods II,93996-89997,WR,Michael,Michael Woods II,Woods II,1.083333333,6,4100,CLE@PIT,CLE,PIT,IR,Achilles,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-86244:Pat Freiermuth,93996-87770:Chris Olave,93996-12542:New Orleans Saints,,93996-89785:Spencer Brown,93996-89785,RB,Spencer,Spencer Brown,Brown,3.150000095,2,4100,NO@CAR,CAR,NO,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-12529:Cleveland Browns,,93996-91101:Tommy Tremble,93996-91101,TE,Tommy,Tommy Tremble,Tremble,3.064285823,14,4100,NO@CAR,CAR,NO,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-39716:Adam Thielen,93996-90870:Calvin Austin III,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,93996-12553:Carolina Panthers,,93996-152320:Tiyon Evans,93996-152320,RB,Tiyon,Tiyon Evans,Evans,,,4000,NO@CAR,CAR,NO,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-70601:Harrison Bryant,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,93996-128515:Ellis Merriweather,93996-128515,RB,Ellis,Ellis Merriweather,Merriweather,,,4000,NO@CAR,NO,CAR,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-85672:Terrace Marshall Jr.,93996-87859:Laviska Shenault Jr.,93996-90870:Calvin Austin III,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,93996-12542:New Orleans Saints,,93996-115971:Shaq Davis,93996-115971,WR,Shaq,Shaq Davis,Davis,,,4000,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-39716:Adam Thielen,93996-86244:Pat Freiermuth,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-69383:Dezmon Patmon,93996-69383,WR,Dezmon,Dezmon Patmon,Patmon,3.400000095,1,4000,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-28573:Michael Thomas,93996-39716:Adam Thielen,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-90870:Calvin Austin III,93996-12529:Cleveland Browns,,93996-89613:Simi Fehoko,93996-89613,WR,Simi,Simi Fehoko,Fehoko,1.950000048,2,4000,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-28573:Michael Thomas,93996-85672:Terrace Marshall Jr.,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,93996-69655:Stephen Sullivan,93996-69655,TE,Stephen,Stephen Sullivan,Sullivan,0.933333317,6,4000,NO@CAR,CAR,NO,IR,Undisclosed,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12529:Cleveland Browns,,93996-28694:Jesse James,93996-28694,TE,Jesse,Jesse James,James,,,4000,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-112192:Jonathan Mingo,93996-87770:Chris Olave,93996-90870:Calvin Austin III,93996-64808:Juwan Johnson,93996-90575:Najee Harris,93996-12529:Cleveland Browns,,93996-91679:Josh Vann,93996-91679,WR,Josh,Josh Vann,Vann,,,4000,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-85672:Terrace Marshall Jr.,93996-92882:Connor Heyward,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-185893:Alfonzo Graham,93996-185893,RB,Alfonzo,Alfonzo Graham,Graham,,,4000,CLE@PIT,PIT,CLE,IR,Undisclosed,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-28573:Michael Thomas,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-70601:Harrison Bryant,93996-91426:Donovan Peoples-Jones,93996-12553:Carolina Panthers,,93996-86068:Jacob Copeland,93996-86068,WR,Jacob,Jacob Copeland,Copeland,,,4000,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-28573:Michael Thomas,93996-91426:Donovan Peoples-Jones,93996-92882:Connor Heyward,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-60984:Jake Bargas,93996-60984,TE,Jake,Jake Bargas,Bargas,,,4000,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,93996-12553:Carolina Panthers,,93996-174907:Sy Barnett,93996-174907,WR,Sy,Sy Barnett,Barnett,,,4000,NO@CAR,NO,CAR,,,,,,WR/FLEX
