QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-89656:Aron Cruickshank,93996-89656,WR,Aron,Aron Cruickshank,Cruickshank,,,4000,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-170287:Rashid Shaheed,93996-39716:Adam Thielen,93996-88575:Elijah Moore,93996-64808:Juwan Johnson,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-158520:Daylen Baldwin,93996-158520,WR,Daylen,Daylen Baldwin,Baldwin,3.5,1,4000,CLE@PIT,CLE,PIT,Q,Hamstring,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,93996-12529:Cleveland Browns,,93996-71228:Marquez Stevenson,93996-71228,WR,Marquez,Marquez Stevenson,Stevenson,,,4000,NO@CAR,CAR,NO,Q,Undisclosed,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-39716:Adam Thielen,93996-64031:Hayden Hurst,93996-85672:Terrace Marshall Jr.,93996-12529:Cleveland Browns,,93996-92990:Hassan Hall,93996-92990,RB,Hassan,Hassan Hall,Hall,,,4000,CLE@PIT,CLE,PIT,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-64031:Hayden Hurst,93996-39716:Adam Thielen,93996-12542:New Orleans Saints,,93996-55366:Qadree Ollison,93996-55366,RB,Qadree,Qadree Ollison,Ollison,,,4000,CLE@PIT,PIT,CLE,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-85672:Terrace Marshall Jr.,93996-92882:Connor Heyward,93996-87770:Chris Olave,93996-12553:Carolina Panthers,,93996-73551:Stantley Thomas-Oliver III,93996-73551,WR,Stantley,Stantley Thomas-Oliver III,Thomas-Oliver III,,,4000,NO@CAR,CAR,NO,O,Hamstring,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-45565:Taysom Hill,93996-53562:Nick Chubb,93996-12553:Carolina Panthers,,93996-91989:Jordan Mims,93996-91989,RB,Jordan,Jordan Mims,Mims,,,4000,NO@CAR,NO,CAR,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-39716:Adam Thielen,93996-92882:Connor Heyward,93996-88575:Elijah Moore,93996-12529:Cleveland Browns,,93996-89172:John Lovett,93996-89172,RB,John,John Lovett,Lovett,,,4000,CLE@PIT,PIT,CLE,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-92882:Connor Heyward,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-63061:Gary Jennings,93996-63061,WR,Gary,Gary Jennings,Jennings,,,4000,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-28643:Allen Robinson II,93996-90870:Calvin Austin III,93996-92882:Connor Heyward,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-63576:Kirk Merritt,93996-63576,WR,Kirk,Kirk Merritt,Merritt,,,4000,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90533:Jerome Ford,93996-110246:George Pickens,93996-85672:Terrace Marshall Jr.,93996-91426:Donovan Peoples-Jones,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-86108:Monte Pottebaum,93996-86108,RB,Monte,Monte Pottebaum,Pottebaum,,,4000,CLE@PIT,PIT,CLE,IR,Undisclosed,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-87467:Chuba Hubbard,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-25957:J.P. Holtz,93996-25957,TE,J.P.,J.P. Holtz,Holtz,,,4000,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-28573:Michael Thomas,93996-64808:Juwan Johnson,93996-91426:Donovan Peoples-Jones,93996-12553:Carolina Panthers,,93996-153957:Zaire Mitchell-Paden,93996-153957,TE,Zaire,Zaire Mitchell-Paden,Mitchell-Paden,,,4000,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-39716:Adam Thielen,93996-86244:Pat Freiermuth,93996-87770:Chris Olave,93996-12542:New Orleans Saints,,93996-66155:Michael Jacobson,93996-66155,TE,Michael,Michael Jacobson,Jacobson,,,4000,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-45631:Jamaal Williams,93996-110246:George Pickens,93996-87859:Laviska Shenault Jr.,93996-91426:Donovan Peoples-Jones,93996-64808:Juwan Johnson,93996-53562:Nick Chubb,93996-12542:New Orleans Saints,,93996-94314:Camerun Peoples,93996-94314,RB,Camerun,Camerun Peoples,Peoples,,,4000,NO@CAR,CAR,NO,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-112192:Jonathan Mingo,93996-28573:Michael Thomas,93996-87770:Chris Olave,93996-64808:Juwan Johnson,93996-91426:Donovan Peoples-Jones,93996-12529:Cleveland Browns,,93996-60791:Tommy Hudson,93996-60791,TE,Tommy,Tommy Hudson,Hudson,,,4000,NO@CAR,NO,CAR,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-90870:Calvin Austin III,93996-55335:David Njoku,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-91012:Greg Bell,93996-91012,RB,Greg,Greg Bell,Bell,,,4000,CLE@PIT,PIT,CLE,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-45565:Taysom Hill,93996-91426:Donovan Peoples-Jones,93996-12529:Cleveland Browns,,93996-185743:Darius Hagans,93996-185743,RB,Darius,Darius Hagans,Hagans,,,4000,CLE@PIT,PIT,CLE,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-91426:Donovan Peoples-Jones,93996-64031:Hayden Hurst,93996-87467:Chuba Hubbard,93996-12542:New Orleans Saints,,93996-94864:Jashaun Corbin,93996-94864,RB,Jashaun,Jashaun Corbin,Corbin,,,4000,NO@CAR,CAR,NO,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-85672:Terrace Marshall Jr.,93996-87859:Laviska Shenault Jr.,93996-90870:Calvin Austin III,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-64405:Dan Chisena,93996-64405,WR,Dan,Dan Chisena,Chisena,,,4000,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-170287:Rashid Shaheed,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-86244:Pat Freiermuth,93996-90870:Calvin Austin III,93996-12529:Cleveland Browns,,93996-69276:Bryan Edwards,93996-69276,WR,Bryan,Bryan Edwards,Edwards,0.75,4,4000,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-85672:Terrace Marshall Jr.,93996-90870:Calvin Austin III,93996-45565:Taysom Hill,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-94118:Mike Harley Jr.,93996-94118,WR,Mike,Mike Harley Jr.,Harley Jr.,,,4000,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-28643:Allen Robinson II,93996-90870:Calvin Austin III,93996-64031:Hayden Hurst,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-64175:Hakeem Butler,93996-64175,WR,Hakeem,Hakeem Butler,Butler,,,4000,CLE@PIT,PIT,CLE,Q,Undisclosed,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-39716:Adam Thielen,93996-87770:Chris Olave,93996-90870:Calvin Austin III,93996-45565:Taysom Hill,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-64949:Ja'Marcus Bradley,93996-64949,WR,Ja'Marcus,Ja'Marcus Bradley,Bradley,,,4000,CLE@PIT,PIT,CLE,Q,Undisclosed,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-90870:Calvin Austin III,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-85687:Jontre Kirklin,93996-85687,WR,Jontre,Jontre Kirklin,Kirklin,,,4000,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-87770:Chris Olave,93996-64808:Juwan Johnson,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-92093:Jaelon Darden,93996-92093,WR,Jaelon,Jaelon Darden,Darden,0.292307689,13,4000,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-90533:Jerome Ford,93996-110246:George Pickens,93996-85672:Terrace Marshall Jr.,93996-90870:Calvin Austin III,93996-64808:Juwan Johnson,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-71359:Javon Wims,93996-71359,WR,Javon,Javon Wims,Wims,,,4000,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-87467:Chuba Hubbard,93996-28573:Michael Thomas,93996-87770:Chris Olave,93996-90870:Calvin Austin III,93996-64031:Hayden Hurst,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-32703:Jakeem Grant Sr.,93996-32703,WR,Jakeem,Jakeem Grant Sr.,Grant Sr.,,,4000,CLE@PIT,CLE,PIT,IR,Kneecap,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-87859:Laviska Shenault Jr.,93996-55335:David Njoku,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,93996-65737:Sam Tecklenburg,93996-65737,TE,Sam,Sam Tecklenburg,Tecklenburg,,,4000,NO@CAR,CAR,NO,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-88575:Elijah Moore,93996-64808:Juwan Johnson,93996-87467:Chuba Hubbard,93996-12529:Cleveland Browns,,93996-149710:Mike Strachan,93996-149710,WR,Mike,Mike Strachan,Strachan,1.480000019,5,4000,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-85672:Terrace Marshall Jr.,93996-87859:Laviska Shenault Jr.,93996-55335:David Njoku,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-88525:Kawaan Baker,93996-88525,WR,Kawaan,Kawaan Baker,Baker,,,4000,NO@CAR,NO,CAR,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-39716:Adam Thielen,93996-70601:Harrison Bryant,93996-87770:Chris Olave,93996-12553:Carolina Panthers,,93996-65231:Adam Prentice,93996-65231,RB,Adam,Adam Prentice,Prentice,0.65999999,5,4000,NO@CAR,NO,CAR,,,,,,RB/FLEX
93996-54879:Deshaun Watson,93996-71845:Miles Sanders,93996-90575:Najee Harris,93996-110246:George Pickens,93996-170287:Rashid Shaheed,93996-39716:Adam Thielen,93996-64031:Hayden Hurst,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-63189:Hunter Thedford,93996-63189,TE,Hunter,Hunter Thedford,Thedford,,,4000,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
93996-54879:Deshaun Watson,93996-112057:Jaylen Warren,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-28643:Allen Robinson II,93996-88575:Elijah Moore,93996-55335:David Njoku,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-89817:Austin Watkins Jr.,93996-89817,WR,Austin,Austin Watkins Jr.,Watkins Jr.,,,4000,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-54879:Deshaun Watson,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-112192:Jonathan Mingo,93996-39716:Adam Thielen,93996-87770:Chris Olave,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-71386:Jordan Thomas,93996-71386,TE,Jordan,Jordan Thomas,Thomas,,,4000,NO@CAR,CAR,NO,,,,,,TE/FLEX
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-55335:David Njoku,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,93996-185822:Thomas Greaney,93996-185822,TE,Thomas,Thomas Greaney,Greaney,,,4000,CLE@PIT,CLE,PIT,,,,,,TE/FLEX
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-28573:Michael Thomas,93996-88575:Elijah Moore,93996-91426:Donovan Peoples-Jones,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,93996-170206:Rodney Williams II,93996-170206,TE,Rodney,Rodney Williams II,Williams II,,,4000,CLE@PIT,PIT,CLE,,,,,,TE/FLEX
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-28643:Allen Robinson II,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12542:New Orleans Saints,,93996-88547:Jalen Wayne,93996-88547,WR,Jalen,Jalen Wayne,Wayne,,,4000,CLE@PIT,CLE,PIT,,,,,,WR/FLEX
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-85672:Terrace Marshall Jr.,93996-64808:Juwan Johnson,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,93996-90343:Jordan Byrd,93996-90343,WR,Jordan,Jordan Byrd,Byrd,,,4000,CLE@PIT,PIT,CLE,,,,,,WR/FLEX
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-64031:Hayden Hurst,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-63479:John Kelly Jr.,93996-63479,RB,John,John Kelly Jr.,Kelly Jr.,,,4000,CLE@PIT,CLE,PIT,,,,,,RB/FLEX
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-170287:Rashid Shaheed,93996-87770:Chris Olave,93996-90870:Calvin Austin III,93996-86244:Pat Freiermuth,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,93996-103930:Derek Wright,93996-103930,WR,Derek,Derek Wright,Wright,,,4000,NO@CAR,CAR,NO,,,,,,WR/FLEX
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-28573:Michael Thomas,93996-28643:Allen Robinson II,93996-85672:Terrace Marshall Jr.,93996-86244:Pat Freiermuth,93996-87770:Chris Olave,93996-12553:Carolina Panthers,,93996-12547:Pittsburgh Steelers,93996-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,4,1,3800,CLE@PIT,PIT,CLE,,,,,,DEF
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-64031:Hayden Hurst,93996-91426:Donovan Peoples-Jones,93996-12553:Carolina Panthers,,93996-12553:Carolina Panthers,93996-12553,D,Carolina,Carolina Panthers,Panthers,4,1,3500,NO@CAR,CAR,NO,,,,,,DEF
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-71845:Miles Sanders,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-45565:Taysom Hill,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-112192:Jonathan Mingo,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-55335:David Njoku,93996-90575:Najee Harris,93996-12547:Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-90533:Jerome Ford,93996-28643:Allen Robinson II,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-86244:Pat Freiermuth,93996-90575:Najee Harris,93996-12542:New Orleans Saints,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-170287:Rashid Shaheed,93996-28573:Michael Thomas,93996-39716:Adam Thielen,93996-86244:Pat Freiermuth,93996-88575:Elijah Moore,93996-12553:Carolina Panthers,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-110246:George Pickens,93996-112192:Jonathan Mingo,93996-170287:Rashid Shaheed,93996-64031:Hayden Hurst,93996-71845:Miles Sanders,93996-12547:Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-90575:Najee Harris,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-88575:Elijah Moore,93996-64808:Juwan Johnson,93996-90870:Calvin Austin III,93996-12547:Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-53562:Nick Chubb,93996-71845:Miles Sanders,93996-110246:George Pickens,93996-85672:Terrace Marshall Jr.,93996-87770:Chris Olave,93996-64031:Hayden Hurst,93996-90870:Calvin Austin III,93996-12542:New Orleans Saints,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-53562:Nick Chubb,93996-39716:Adam Thielen,93996-88575:Elijah Moore,93996-90870:Calvin Austin III,93996-64808:Juwan Johnson,93996-71845:Miles Sanders,93996-12542:New Orleans Saints,,,,,,,,,,,,,,,,,,,
93996-92020:Kenny Pickett,93996-45631:Jamaal Williams,93996-90575:Najee Harris,93996-110246:George Pickens,93996-87770:Chris Olave,93996-87859:Laviska Shenault Jr.,93996-64808:Juwan Johnson,93996-91426:Donovan Peoples-Jones,93996-12542:New Orleans Saints,,,,,,,,,,,,,,,,,,,
